name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
LONG BAI,9388754,21/07/2025,,RUS,TRADER,1,2025-07-22,False
IMO 9333785 ('SEADAR'),9333785,16/06/2026,Barbados,SLE,SEADAR,2,2026-06-18,False
IMO 9408542 ('LING HONG'),9408542,16/06/2026,Panama,SLE,TONG TU,2,2026-06-18,False
YANHU,9297357,12/09/2025,Russia,RUS,NOVATOR,3,2025-09-15,False
JIN HUI,9430272,24/02/2026,Panama,SYR,JIN HUI,3,2026-02-27,False
NS ASIA,9413561,11/09/2024,Gabon,BRB,ALLIANCE,4,2024-09-15,False
NS CORONA,9341079,11/09/2024,Gabon,BRB,CAPELLA,5,2024-09-16,True
SCF AMUR,9333436,31/07/2024,Gabon,BRB,SUCCESS,6,2024-08-06,True
NS LOTUS,9339337,31/07/2024,Gabon,BRB,LEGACY,7,2024-08-07,True
SHAANXI,9338905,09/05/2025,Gabon,PLW,PATE,7,2025-05-16,False
DESTAMAR,9253894,21/07/2025,Antigua and Barbuda,BEN,DESTAMAR,7,2025-07-28,False
TANGO,9292058,12/09/2025,Comoros,GMB,TANGO,7,2025-09-19,False
MIANZIMU,9299666,17/12/2024,Gabon,DJI,DASHAN,8,2024-12-25,False
BULL,9292503,17/12/2024,Antigua and Barbuda,SLE,BULL,8,2024-12-25,False
FENGHUANG,9236248,24/02/2026,,CMR,FENGHUANG,8,2026-03-04,False
ATTICA,9436941,25/11/2024,Gabon,BES,YI MENG SHAN,10,2024-12-05,False
IZOLA,9249312,09/05/2025,Barbados,COM,IZOLA,10,2025-05-19,False
MARABELLA SUN,9323376,09/05/2025,,COM,MARABELLA SUN,10,2025-05-19,False
HUIHAI PACIFIC,9346732,21/07/2025,,MWI,TK SCORPIO,10,2025-07-31,False
GARASAN,9323986,17/12/2024,Gabon,GNB,GARASAN,11,2024-12-28,False
TURACO,9247780,21/07/2025,,BES,TAWANNA,11,2025-08-01,False
VIRAT,9832559,12/09/2025,,GMB,VIRAT,11,2025-09-23,False
MANASLU,9388027,24/02/2026,,MDG,MANASLU,11,2026-03-07,False
NIKOLAY ZUYEV,9610781,11/09/2024,Gabon,BRB,ZENITH,12,2024-09-23,True
Vladimir Tikhonov,9311622,11/09/2024,Gabon,BRB,VANGUARD,12,2024-09-23,True
NS BORA,9412335,17/10/2024,Gabon,BRB,BOLERO,12,2024-10-29,True
MARATHON,9288746,17/12/2024,Gabon,DJI,UDAYA,12,2024-12-29,False
JACKLYN,9313498,15/10/2025,,CMR,JACKLYN,12,2025-10-27,False
GUANYIN,9299707,24/02/2026,,MDG,GUANYIN,12,2026-03-08,False
SCF Vankor,9316127,11/09/2024,Gabon,BRB,VEGA,13,2024-09-24,False
ATALANTA,9319882,25/11/2024,Gabon,GNB,ARYABHATA,13,2024-12-08,False
ARGENT,9293002,09/05/2025,Guinea-Bissau,COM,BLINT,13,2025-05-22,False
NAUTILUS,9434890,20/05/2025,Barbados,VUT,NAUTILUS,13,2025-06-02,False
SABINA,9524451,12/09/2025,,GMB,SABINA,13,2025-09-25,False
